FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 2,05%
6 years 6 2,19%
7 years 7 2,31%
8 years 8 2,39%
9 years 9 2,45%
10 years 10 2,50%
11 years 1 2,53%
12 years 12 2,56%
13 years 13 2,59%
14 years 14 2,62%
15 years 15 2,65%
16 years 16 2,68%
17 years 17 2,11%
18 years 18 2,13%
19 years 19 2,15%
20 years 20 2,77%
21 years 21 2,18%
22 years 22 2,80%
23 years 23 2,81%
24 years 24 2,82%
25 years 25 2,84%
26 years 26 2,85%
27 years 27 2,86%
28 years 28 2,87%
29 years 29 2,88%

30 years 30 2,89%

