FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 3,77%
6 years 6 3,83%
7 years 7 3,88%
8 years 8 3,92%
9 years 9 3,95%
10 years 10 3,97%
11 years 1 3,98%
12 years 12 4,00%
13 years 13 4,02%
14 years 14 4,03%
15 years 15 4,05%
16 years 16 4,06%
17 years 17 4,07%
18 years 18 4,08%
19 years 19 4,09%
20 years 20 4,10%
21 years 21 4,11%
22 years 22 4,12%
23 years 23 4,13%
24 years 24 4,13%
25 years 25 4,14%
26 years 26 4,15%
27 years 27 4,15%
28 years 28 4,16%
29 years 29 4,16%
30 years 30 4,16%

 

 

