FIXED DURATIONS MACAULAY ISCOUNT RATE
(interpolated from DURATION
scheme profiles

 

 

5 years 5 1,47%
6 years, 6 1,62%
7 years 7 1,73%
8 years 8 1,82%
9 years: 9 1,89%
10 years 10 1,94%
11 years 11 1,98%
12 years 12 2,01%
13 years 13 2,04%
14 years 14 2,07%
15 years 15 2,10%
16 years 16 2,13%
17 years 17 2,15%
18 years 18 2,18%
19 years 19 2,20%
20 years 20 2,22%
21 years 21 2,23%
22 years 22 2,25%
23 years 23 2,26%
24 years 24 2,28%
25 years 25 2,29%
26 years 26 2,30%
27 years 27 2,31%
28 years 28 2,33%
29 years 29 2,34%
30 years 30 2,35%

