FIXED DURATIONS MACAULAY ISCOUNT RATE
(interpolated from DURATION
scheme profiles

 

 

5 years 5 1,15%
6 years, 6 1,30%
7 years 7 1,42%
8 years 8 1,52%
9 years: 9 1,60%
10 years 10 1,66%
11 years 11 1,71%
12 years 12 1,75%
13 years 13 1,78%
14 years 14 1,82%
15 years 15 1,85%
16 years 16 1,88%
17 years 17 1,91%
18 years 18 1,94%
19 years 19 1,97%
20 years 20 1,99%
21 years 21 2,01%
22 years 22 2,03%
23 years 23 2,05%
24 years 24 2,06%
25 years 25 2,08%
26 years 26 2,09%
27 years 27 2,11%
28 years 28 2,12%
29 years 29 2,14%
30 years 30 2,15%

