 

FIXED DURATIONS MACAULAY | DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 4,08%
6 years 6 4,12%
7 years 7 4,16%
8 years 8 4,20%
9 years 9 4,23%
10 years 10 4,27%
11 years 1 4,29%
12 years 12 4,31%
13 years 13 4,33%
14 years 14 4,34%
15 years 15 4,35%
16 years 16 4,37%
17 years 17 4,38%
18 years 18 4,39%
19 years 19 4,40%
20 years 20 4,41%
21 years 21 4,42%
22 years 22 4,42%
23 years 23 4,43%
24 years 24 4,44%
25 years 25 4,44%
26 years 26 4,45%
27 years 27 4,45%
28 years 28 4,46%
29 years 29 4,46%

30 years 30 4,46%

