FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from DURATION P.A.
scheme profiles)
5years 5 0,73%
6 years 6 0,87%
7 years 7 0,99%
8 years 8 1,09%
9 years 9 1,17%
10 years 10 1,24%
11 years 11 1,29%
12 years 12 1,34%
13 years 13 1,38%
14 years 14 1,41%
15 years 15 1,45%
16 years 16 1,48%
17 years 17 1,51%
18 years 18 1,54%
19 years 19 1,57%
20 years 20 1,60%
21 years 21 1,62%
22 years 22 1,64%
23 years 23 1,66%
24 years 24 1,67%
25 years 25 1,69%
26 years 26 1,71%
27 years 27 1,72%
28 years 28 1,74%
29 years 29 1,75%

30 years 30 1,77%

