FIXED DURATIONS MACAULAY DISCOUNT RATE
(interpolated from DURATION P.
scheme profiles’

  

5 years 5 3,03%
6 years 6 3,14%
7 years 7 3,23%
8 years 8 3,29%
9 years 9 3,33%
10 years 10 3,37%
11 years 11 3,40%
12 years 12 3,43%
13 years 13 3,45%
14 years 14 3,48%
15 years 15 3,51%
16 years 16 3,54%
17 years 17 3,56%
18 years 18 3,58%
19 years 19 3,59%
20 years 20 3,61%
21 years 21 3,62%
22 years 22 3,64%
23 years 23 3,65%
24 years 24 3,67%
25 years 25 3,68%
26 years 26 3,69%
27 years 27 3,70%
28 years 28 3,71%
29 years 29 3,72%

30 years 30 3,73%

