FIXED DURATIONS DISCOUNT RATE

 

[TEN PER rer IMACAULAY DURATION N
scheme profiles)
5 years 5 0,22%
6 years 6 0,35%
7 years 7 0,48%
8 years 8 0,59%
9 years 9 0,69%
10 years 10 0,77%
11 years 11 0,85%
12 years 12 0,92%
13 years 13 0,98%
14 years 14 1,04%
15 years 15 1,09%
16 years 16 1,13%
17 years 17 1,17%
18 years 18 1,21%
19 years 19 1,24%
20 years 20 1,28%
21 years 21 1,31%
22 years 22 1,33%
23 years 23 1,36%
24 years 24 1,39%
25 years 25 1,41%
26 years 26 1,43%
27 years 27 1,45%
28 years 28 1,47%
29 years 29 1,49%

30 years 30 1,51%

