FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 3,38%
6 years 6 3,42%
7 years 7 3,45%
8 years 8 3,48%
9 years 9 3,50%
10 years 10 3,51%
11 years 1 3,52%
12 years 12 3,53%
13 years 13 3,54%
14 years 14 3,55%
15 years 15 3,56%
16 years 16 3,57%
17 years 17 3,58%
18 years 18 3,58%
19 years 19 3,59%
20 years 20 3,59%
21 years 21 3,60%
22 years 22 3,60%
23 years 23 3,60%
24 years 24 3,61%
25 years 25 3,61%
26 years 26 3,61%
27 years 27 3,62%
28 years 28 3,62%
29 years 29 3,62%
30 years 30 3,62%

 

 

