FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from DURATION P.A.
scheme profiles)
5years 5 0,38%
6 years 6 0,51%
7 years 7 0,62%
8 years 8 0,72%
9 years 9 0,80%
10 years 10 0,87%
11 years 11 0,94%
12 years 12 0,99%
13 years 13 1,04%
14 years 14 1,08%
15 years 15 1,12%
16 years 16 1,16%
17 years 17 1,19%
18 years 18 1,22%
19 years 19 1,25%
20 years 20 1,28%
21 years 21 1,30%
22 years 22 1,32%
23 years 23 1,34%
24 years 24 1,36%
25 years 25 1,38%
26 years 26 1,40%
27 years 27 1,42%
28 years 28 1,43%
29 years 29 1,45%

30 years 30 1,46%

