FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from DURATION P.A.
scheme profiles)
5years 5 0,44%
6 years 6 0,57%
7 years 7 0,68%
8 years 8 0,78%
9 years 9 0,86%
10 years 10 0,93%
11 years 11 0,99%
12 years 12 1,05%
13 years 13 1,09%
14 years 14 1,13%
15 years 15 1,17%
16 years 16 1,20%
17 years 17 1,24%
18 years 18 1,27%
19 years 19 1,29%
20 years 20 1,32%
21 years 21 1,34%
22 years 22 1,37%
23 years 23 1,39%
24 years 24 1,40%
25 years 25 1,42%
26 years 26 1,44%
27 years 27 1,46%
28 years 28 1,47%
29 years 29 1,49%

30 years 30 1,50%

