FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from DURATION P.A.
scheme profiles)
5years 5 0,39%
6 years 6 0,51%
7 years 7 0,62%
8 years 8 0,71%
9 years 9 0,80%
10 years 10 0,86%
11 years 11 0,92%
12 years 12 0,97%
13 years 13 1,02%
14 years 14 1,06%
15 years 15 1,10%
16 years 16 1,13%
17 years 17 1,16%
18 years 18 1,19%
19 years 19 1,22%
20 years 20 1,25%
21 years 21 1,27%
22 years 22 1,29%
23 years 23 1,31%
24 years 24 1,33%
25 years 25 1,35%
26 years 26 1,37%
27 years 27 1,38%
28 years 28 1,40%
29 years 29 1,41%

30 years 30 1,43%

