FIXED DURATIONS DISCOUNT RATE

 

[TEN PER rer IMACAULAY DURATION N
scheme profiles)
5 years 5 0,21%
6 years 6 0,35%
7 years 7 0,48%
8 years 8 0,59%
9 years 9 0,70%
10 years 10 0,79%
11 years 11 0,88%
12 years 12 0,95%
13 years 13 1,02%
14 years 14 1,08%
15 years 15 1,13%
16 years 16 1,18%
17 years 17 1,22%
18 years 18 1,26%
19 years 19 1,30%
20 years 20 1,34%
21 years 21 1,37%
22 years 22 1,40%
23 years 23 1,43%
24 years 24 1,45%
25 years 25 1,48%
26 years 26 1,50%
27 years 27 1,53%
28 years 28 1,55%
29 years 29 1,57%

30 years 30 1,59%

